Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Features","For Use With/Related Products","URL"
"https://www.ellsworth.com/globalassets/literature-library/manufacturer/dow-corning/dow-corning-silicone-sealants-for-industrial-assembly-and-maintenance.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/56/MFG_3145-90ML-GRY-MIL-A-46146.jpg","2275-314590MLGRYMIL-A-46146-ND","3145 90ML GRY MIL-A-46146","DOW","Ellsworth Adhesives","ADHESIVE SEALANT GRAY 90ML TUBE","2","74.92","0","2","Tube","Dow® DOWSIL™ 3145","Active","Adhesive Sealant","Gray, High Strength, 90mL","Sealing Electronic Components","https://www.digikey.com/en/products/detail/ellsworth-adhesives/3145-90ML-GRY-MIL-A-46146/11494973"
"https://www.mgchemicals.com/downloads/tds/tds-9200-2parts.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2247/MFG_9200-25ML.jpg","473-1263-ND","9200-25ML","MG Chemicals","MG Chemicals","STRUCTURAL EPOXY ADHESIVE","81","32.29","0","1","Bulk","9200","Active","Epoxy, 2 Part","-","Ceramic, Glass, Metal, Plastic","https://www.digikey.com/en/products/detail/mg-chemicals/9200-25ML/7595387"
"https://cdmsweb.3m.com/ingredientcommunication/file/Media/W_eKm4ujxmI","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/317/20854.jpg","3M158629-ND","20854","3M","3M","SCOTCH-WELD EPOXY ADHESIVE 2","5","421.04","0","1","Box","Scotch-Weld™ 2216","Active","Epoxy, 2 Part","Translucent","Aluminum, Glass, Plastic, Rubber, Steel","https://www.digikey.com/en/products/detail/3m/20854/7066629"
"http://images.salsify.com/image/upload/s--EnTpixS2--/0ff23cff3028fc5ff0ec84f3d5361a74457d5777.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/697/MFG_PN08019.JPG","3M162011-ND","PN08019","3M","3M","MARINE GRADE SILICONE SEALANT CL","122","29.98","0","1","Bulk","-","Active","Silicone","Clear, 3 Ounces","Marine Applications","https://www.digikey.com/en/products/detail/3m/PN08019/7670443"
"https://multimedia.3m.com/mws/media/2219681O/sibg-iatd-05-hotmelt-brochure-2022-a4-v3-fv-en-en-lr.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4993/TCTC-Q-GEN-II.jpg","19-TC/TC-QGENII-ND","TC/TC-Q GEN II","3M","3M","HOT MELT TC/TC-Q GEN II","48","197.41","0","1","Bulk","-","Active","Applicator, Hot Melt","-","Q Adhesives","https://www.digikey.com/en/products/detail/3m/TC-TC-Q-GEN-II/17139392"
"https://www.momentive.com/content/dam/momentive/en-us/products/tds/snapsil/snapsil-rtv162.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/934/RTV167-85ML.jpg","473-1189-ND","RTV167-85ML","Momentive Performance Materials","MG Chemicals","ADHESIVE SEALANT SIL HI STRENGTH","259","125.13","0","1","Bulk","RTV","Active","Silicone","High Strength","Non Corrosive","https://www.digikey.com/en/products/detail/mg-chemicals/RTV167-85ML/1972158"
"https://multimedia.3m.com/mws/media/769041O/3m-heat-shrink-tubing-devices-catalog-low-res-pdf.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1027/TPA150.jpg","3M155944-ND","TPA150","3M","3M","MAINTENANCE ADHESIVE KIT W/OUT G","193","141.77","0","1","Bulk","-","Active","Epoxy, 2 Part","-","Multi-Purpose","https://www.digikey.com/en/products/detail/3m/TPA150/3866247"
"https://multimedia.3m.com/mws/media/66773O/3mtm-scotch-weldtm-epoxy-potting-compound-adhesive-dp270.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/749/DP270-CLEAR.JPG","3M157672-ND","DP270-CLEAR","3M","3M","POTTING COMPOUND CLEAR 48.5ML","591","43.78","0","1","Bulk","Scotch-Weld™ DP270","Active","Epoxy, 2 Part","Clear, 48.5mL","Potting","https://www.digikey.com/en/products/detail/3m/DP270-CLEAR/8635628"
"https://multimedia.3m.com/mws/media/530755O/3mtm-optically-clear-adhesives-8211-8212-8213-8214-8215.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/435/8211-12X33YD.jpg","821112""X33YD-ND","8211 12""X33YD","3M","3M","OPTICALLY CLEAR ADHESIVE","84","169.29","0","1","Bulk","8211","Active","Optically Clear Adhesive","Clear","Optical Screens","https://www.digikey.com/en/products/detail/3m/8211-12-X33YD/7694109"
"https://cdmsweb.3m.com/ingredientcommunication/file/Media/W_eKm4ujxmI","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/325/2216-GRAY-2OZ.JPG","3M158694-ND","2216-GRAY-2OZ","3M","3M","SCOTCH-WELD EPOXY ADHESIVE 2","298","106.33","0","1","Box","Scotch-Weld™ 2216","Active","Epoxy, 2 Part","Gray, 2 Ounces","Steel, Aluminum, Plastic, Rubber, Glass","https://www.digikey.com/en/products/detail/3m/2216-GRAY-2OZ/7066622"
"https://www.mgchemicals.com/downloads/tds/tds-832hd-2parts.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/783/MFG_832HD-25ML.jpg","473-1405-ND","832HD-25ML","MG Chemicals","MG Chemicals","BLACK 1:1 EPOXY","410","25.27","0","1","Box","832HD","Active","Epoxy, 2 Part","Black, 25 mL","Potting","https://www.digikey.com/en/products/detail/mg-chemicals/832HD-25ML/9658007"
"https://www.mgchemicals.com/downloads/tds/tds-1035.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/871/MFG_1035-85ML.jpg","473-1370-ND","1035-85ML","MG Chemicals","MG Chemicals","ADHESIVE SEAL CLEAR NONCORROSIVE","248","35.24","0","1","Bulk","1035","Active","Potting Compound, 1 Part","Marine Application","Non Corrosive","https://www.digikey.com/en/products/detail/mg-chemicals/1035-85ML/1972170"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7560/832FXT-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7578/MFG_832FXT-xxML.jpg","473-832FXT-25ML-ND","832FXT-25ML","MG Chemicals","MG Chemicals","FLEXIBLE EPOXY RESIN","73","32.73","0","1","Box","-","Active","Epoxy, 2 Part","Black, 25 mL","Potting","https://www.digikey.com/en/products/detail/mg-chemicals/832FXT-25ML/27636793"
"https://multimedia.3m.com/mws/media/1245163O/3m-hot-melt-adhesive-3764-3748-technical-data-sheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2452/3748-V-O-Q-5%20SERIES.jpg","3M6415-ND","3748-V-O-Q-5/8""X8""","3M","3M","HOT MELT ADHESV 5/8""X8"" 1=1STICK","2,061","6.85","0","1","Bulk","Scotch-Weld™ Hot Melt","Active","Hot Melt","Non-Corrosive","Ceramic, Glass, Polyolefin","https://www.digikey.com/en/products/detail/3m/3748-V-O-Q-5-8-X8/1306092"
"https://www.mgchemicals.com/downloads/tds/tds-9310.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/766/MFG_9310-10ML.jpg","473-1294-ND","9310-10ML","MG Chemicals","MG Chemicals","ONE-PART EPOXY GENERAL PURPOSE A","182","29.5","0","1","Bulk","9310","Active","Epoxy","Heat Cure, Self Leveling","Multi-Purpose","https://www.digikey.com/en/products/detail/mg-chemicals/9310-10ML/8582356"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1015/RTV103.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/14/RTV103-85ML.jpg","473-1137-ND","RTV103-85ML","Momentive Performance Materials","MG Chemicals","ADHESIVE SEALANT SIL BLACK PASTE","239","28.48","0","1","Bulk","RTV","Active","Potting Compound, 1 Part","High Strength","Multi-Purpose","https://www.digikey.com/en/products/detail/mg-chemicals/RTV103-85ML/1972147"
"https://technicaldatasheets.3m.com/en_US?pif=163","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/862/62357514371.jpg","3M157689-ND","DP100-CLEAR","3M","3M","CLEAR EPOXY ADH 48.5ML","584","43.78","0","1","Bulk","Scotch-Weld™ DP100","Active","Epoxy, 2 Part","Clear, 48.5mL","Multi-Purpose","https://www.digikey.com/en/products/detail/3m/DP100-CLEAR/8635645"
"https://products.meridianadhesives.com/storage/downloads/iuwbjucrnxrtodcppc1mq0jbr8aoufp8/353nd-rev-xxxii-2.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5643/MFG_EPO-TEK353NDBi-Paks2.5gram%2825packs%29.jpg","5213-EPO-TEK353NDBi-Paks2.5gram(25packs)-ND","EPO-TEK 353ND Bi-Paks2.5 gram (25 packs)","Epoxy Technology","Epoxy Technology","25 x Bi-packs / 2.5 gram (1 box)","64","350","0","1","Bulk","-","Active","Epoxy, 2 Part","-","-","https://www.digikey.com/en/products/detail/epoxy-technology/EPO-TEK-353ND-Bi-Paks2-5-gram-25-packs/21703346"
"https://multimedia.3m.com/mws/media/2365950O/3m-scotch-weld-epoxy-adhesive-dp100fr.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/309/DP100FR-200ML.JPG","3M161117-ND","DP100FR-200ML","3M","3M","SCOTCH WELD EPXY ADH DP 100 FR","248","154.93","0","1","Bulk","Scotch-Weld™ DP100FR","Active","Epoxy, 2 Part","Off-White, 200mL","Multi-Purpose","https://www.digikey.com/en/products/detail/3m/DP100FR-200ML/5128563"
"https://multimedia.3m.com/mws/media/1245163O/3m-hot-melt-adhesive-3764-3748-technical-data-sheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/734/3M6417-ND.jpg","3M6417-ND","3748-Q-5/8""X8""","3M","3M","HOT MELT ADHESV 5/8""X8"" 1=1STICK","5,612","6.76","0","1","Bulk","Scotch-Weld™ Hot Melt","Active","Hot Melt","Non-Corrosive","Ceramic, Glass, Polyolefin","https://www.digikey.com/en/products/detail/3m/3748-Q-5-8-X8/1306094"
"https://multimedia.3m.com/mws/media/44021O/3m-hot-melt-bonding-systems-guide.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1061/3764-Q.jpg","3M6419-ND","3764-Q","3M","3M","HOT MELT ADHESV 5/8""X8"" 1=1STICK","3,770","5.89","0","1","Bulk","Scotch-Weld™ Hot Melt","Active","Hot Melt","-","HSE/LSE Plastics","https://www.digikey.com/en/products/detail/3m/3764-Q/1306096"
"http://www.chipquik.com/datasheets/EGS10W-20G.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/MFG_EGS10W-20G.jpg","EGS10W-20G-ND","EGS10W-20G","Chip Quik Inc.","Chip Quik Inc.","ELECTRONICS GRADE SILICONE ADHES","632","4.95","0","1","Bulk","CHIPQUIK®","Active","Adhesive Sealant","White, Non-Corrosive, 20mL","Sealing Electronic Components","https://www.digikey.com/en/products/detail/chip-quik-inc/EGS10W-20G/10059589"
"https://multimedia.3m.com/mws/media/1245163O/3m-hot-melt-adhesive-3764-3748-technical-data-sheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/363/3748-Q-BLACK.jpg","3M10542-ND","3748-Q-BLACK","3M","3M","HOT MELT ADHESV 5/8""X8"" 1=1STICK","2,643","7.06","0","1","Bulk","Scotch-Weld™ Hot Melt","Active","Hot Melt","Non-Corrosive","Q Adhesives","https://www.digikey.com/en/products/detail/3m/3748-Q-BLACK/2699976"
"https://www.mgchemicals.com/downloads/tds/tds-832ht-2parts.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/861/MFG_832HT-375ML.jpg","473-1085-ND","832HT-375ML","MG Chemicals","MG Chemicals","HIGH TEMPERATURE EPOXY","39","77.89","0","1","Box","832HT","Active","Potting Compound, 2 Part","High Temperature","Sealing Electronic Components","https://www.digikey.com/en/products/detail/mg-chemicals/832HT-375ML/1785552"
"https://datasheets.tdx.henkel.com/LOCTITE-ABLESTIK-2902-en_GL.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/410/1402586.JPG","1000-141-ND","1402586","LOCTITE","LOCTITE","2902 EL COND ADH 2.65G BIPAX","222","96.18","0","1","Bulk","TRA-DUCT 2902","Active","Epoxy, 2 Part","Thermally Conductive","Sealing Electronic Components","https://www.digikey.com/en/products/detail/loctite/1402586/2501392"
"https://atomadhesives.com/content/TDS/AA-DUCT-902-TDS-2-PART-SILVER-EPOXY-ADHESIVE-ELECTRICALLY-CONDUCTIVE-ROOM-TEMP-CURING-AIR-DRY.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6522/MFG_AA-DUCT%2520902-2.jpg","2949-AA-DUCT902-2-ND","AA-DUCT 902-2","Atom Adhesives","Atom Adhesives","Conductive Silver Epoxy Electric","9,816","24.99","0","1","Retail Package","-","Active","Epoxy, 2 Part","2 Part","Aluminum, Ceramics, Fabric, Glass, PCB, Steel, Wood","https://www.digikey.com/en/products/detail/atom-adhesives/AA-DUCT-902-2/25892071"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4850/DS_473_RTV5818.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6090/RTV5818-300ML.jpg","RTV5818-300ML-ND","RTV5818-300ML","Momentive Performance Materials","MG Chemicals","ADHESIVE SEALANT SIL FAST CURE","118","55.56","0","1","Bulk","RTV","Active","Potting Compound, 1 Part","Marine Application","Non Corrosive","https://www.digikey.com/en/products/detail/mg-chemicals/RTV5818-300ML/1972162"
"https://multimedia.3m.com/mws/media/66122O/3mtm-scotch-weld-tm-epoxy-adhesive-dp460-ns-and-off-white.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/848/62279214365.jpg","3M157668-ND","DP460NS-OFFWHT","3M","3M","EPOXY ADHESIVE DP-460 NS 50ML","233","66.85","0","1","Bulk","Scotch-Weld™ DP460NS","Active","Epoxy, 2 Part","Off-White, 50mL","Multi-Purpose","https://www.digikey.com/en/products/detail/3m/DP460NS-OFFWHT/8635624"
"https://www.mgchemicals.com/downloads/tds/tds-9200-2parts.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2538/MFG_9200-50ML.jpg","473-1264-ND","9200-50ML","MG Chemicals","MG Chemicals","STRUCTURAL EPOXY ADHESIVE","104","46.38","0","1","Bulk","9200","Active","Epoxy, 2 Part","-","Ceramic, Glass, Metal, Plastic","https://www.digikey.com/en/products/detail/mg-chemicals/9200-50ML/7595388"
"https://multimedia.3m.com/mws/media/169553O/3m-thermal-bonding-film-583.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/717/583-1X60YD.jpg","3M162799-ND","583-1""X60YD","3M","3M","THERMAL BONDING FILM 1""X60YD","90","46.18","0","1","Bulk","583","Active","Bonding Film","Heat or Solvent Activated","Multi-Purpose","https://www.digikey.com/en/products/detail/3m/583-1-X60YD/5271803"
"http://www.chipquik.com/datasheets/SG4-1.0.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/697/MFG_SG4-1.0.JPG","SG4-1.0-ND","SG4-1.0","Chip Quik Inc.","Chip Quik Inc.","RUBBER REINFORCED SUPER GLUE - F","29","12.95","0","1","Bulk","CHIPQUIK®","Active","Adhesive","Fast Cure, 30mL","Multi-Purpose","https://www.digikey.com/en/products/detail/chip-quik-inc/SG4-1-0/9681979"
